jahr,region,erwerbstaetige_1000,arbeitsvolumen_mio_std,arbeitsstunden_je_erwerbstaetigen
1970,Westdeutschland,26589,52285,1966
1975,Westdeutschland,26248,47412,1806
1980,Westdeutschland,27420,48012,1751
1985,Westdeutschland,27608,46122,1671
1990,Westdeutschland,30409,47973,1578
1991,Westdeutschland,31261,48730,1559
1991,Gesamtdeutschland,38873,60389,1554
1995,Gesamtdeutschland,38046,58168,1529
2000,Gesamtdeutschland,39976,58546,1465
2005,Gesamtdeutschland,39322,56305,1432
2010,Gesamtdeutschland,41099,58581,1425
2015,Gesamtdeutschland,43137,60460,1402
2020,Gesamtdeutschland,44966,59066,1314
2025,Gesamtdeutschland,45982,61259,1332
