Entity,Code,Year,GDP per capita,CO₂ emissions per capita,Consumption-based CO₂ emissions per capita
China,CHN,1990,1666.9277,2.1528878,2.0464685
China,CHN,1991,1798.2761,2.2370765,2.0993683
China,CHN,1992,2030.3864,2.3057148,2.2439995
China,CHN,1993,2286.7598,2.4340296,2.3470078
China,CHN,1994,2556.6406,2.559043,2.3093727
China,CHN,1995,2808.034,2.7465813,2.488738
China,CHN,1996,3055.9697,2.8427844,2.5666122
China,CHN,1997,3305.7905,2.8299394,2.4973671
China,CHN,1998,3533.566,2.6824508,2.3962572
China,CHN,1999,3774.1377,2.817025,2.5324357
China,CHN,2000,4066.0364,2.8700879,2.5488749
China,CHN,2001,4372.157,2.912365,2.6050818
China,CHN,2002,4744.3984,3.184619,2.8128052
China,CHN,2003,5192.006,3.7351773,3.1051638
China,CHN,2004,5684.169,4.001966,3.2675235
China,CHN,2005,6298.323,4.4899764,3.546957
China,CHN,2006,7057.1,4.921031,3.8422134
China,CHN,2007,8013.716,5.2606664,4.1247582
China,CHN,2008,8743.745,5.6172485,4.4143662
China,CHN,2009,9518.433,5.8706574,4.955734
China,CHN,2010,10476.3125,6.370445,5.372078
China,CHN,2011,11405.018,6.998823,5.9231076
China,CHN,2012,12217.8545,7.131918,6.091669
China,CHN,2013,13080.829,7.2097993,6.256219
China,CHN,2014,13968.581,7.187588,6.282732
China,CHN,2015,14856.78,7.0609546,6.2957745
China,CHN,2016,15772.765,6.9428844,6.1764846
China,CHN,2017,16757.973,7.080384,6.342176
China,CHN,2018,17806.791,7.2915606,6.654949
China,CHN,2019,18820.514,7.5260706,6.8612175
China,CHN,2020,19215.154,7.64075,6.8710995
China,CHN,2021,20843.297,7.910899,7.072158
China,CHN,2022,21499.383,8.217776,7.3162947
China,CHN,2023,22687.076,8.556261,7.6319
China,CHN,2024,23845.62,8.65839,
Germany,DEU,1990,42287.652,13.233256,15.055417
Germany,DEU,1991,44125.145,12.663626,14.3036585
Germany,DEU,1992,44672.69,11.978324,15.273465
Germany,DEU,1993,43948.15,11.773517,14.4735565
Germany,DEU,1994,44933.293,11.534621,14.03922
Germany,DEU,1995,45475.688,11.459825,14.045419
Germany,DEU,1996,45814.85,11.666093,13.79919
