Entity,Code,Year,Life satisfaction,GDP per capita,World region according to OWID,GDP per capita (Original Year),Life satisfaction (Original Year)
Afghanistan,AFG,2024,1.721,1983.8126,Asia,2023,2023
Albania,ALB,2024,5.411,21641.074,Europe,,
Algeria,DZA,2024,5.571,15501.92,Africa,,
Argentina,ARG,2024,6.397,26771.965,South America,,
Armenia,ARM,2024,5.494,20078.785,Asia,,
Australia,AUS,2024,6.974,60303.98,Oceania,,
Austria,AUT,2024,6.81,63788.08,Europe,,
Azerbaijan,AZE,2024,4.875,22072.148,Asia,,
Bahrain,BHR,2024,6.03,58891.832,Asia,,
Bangladesh,BGD,2024,3.851,8486.785,Asia,,
Belarus,BLR,2024,5.821,27611.18,Europe,2021,2021
Belgium,BEL,2024,6.91,63347.785,Europe,,
Belize,BLZ,2024,6.711,12621.408,North America,,
Benin,BEN,2024,4.357,3901.326,Africa,,
Bolivia,BOL,2024,5.868,11329.151,South America,,
Bosnia and Herzegovina,BIH,2024,6.136,20527.693,Europe,,
Botswana,BWA,2024,3.438,18068.506,Africa,,
Brazil,BRA,2024,6.494,19652.365,South America,,
Bulgaria,BGR,2024,5.554,34221.53,Europe,,
Burkina Faso,BFA,2024,4.383,2547.6724,Africa,,
Burundi,BDI,2024,3.775,1030.7703,Africa,2020,2020
Cambodia,KHM,2024,4.341,7008.889,Asia,,
Cameroon,CMR,2024,4.887,4916.9336,Africa,,
Canada,CAN,2024,6.803,56706.824,North America,,
Central African Republic,CAF,2024,3.4759,1145.0956,Africa,2019,2019
Chad,TCD,2024,4.384,2412.866,Africa,,
Chile,CHL,2024,6.361,30182.787,South America,,
China,CHN,2024,5.921,23845.62,Asia,,
Colombia,COL,2024,6.004,18477.215,South America,,
Comoros,COM,2024,3.754,3482.535,Africa,,
Congo,COG,2024,5.03,6181.4707,Africa,,
Costa Rica,CRI,2024,7.274,26973.436,North America,,
Cote d'Ivoire,CIV,2024,5.102,6747.038,Africa,,
Croatia,HRV,2024,5.87,42829.2,Europe,,
Cyprus,CYP,2024,5.942,52635.582,Europe,,
Czechia,CZE,2024,6.775,47963.9,Europe,,
Democratic Republic of Congo,COD,2024,3.469,1602.075,Africa,,
Denmark,DNK,2024,7.521,71431.29,Europe,,
Dominican Republic,DOM,2024,5.846,24229.889,North America,,
Ecuador,ECU,2024,5.965,13935.539,South America,,
Egypt,EGY,2024,3.817,16798.152,Africa,,
El Salvador,SLV,2024,6.492,11669.082,North America,,
Estonia,EST,2024,6.417,41189.668,Europe,,
Eswatini,SWZ,2024,3.774,10380.396,Africa,,
Ethiopia,ETH,2024,3.898,2892.2222,Africa,,
Finland,FIN,2024,7.736,56123.15,Europe,,
France,FRA,2024,6.593,54799.348,Europe,,
Gabon,GAB,2024,5.12,18923.662,Africa,,
Gambia,GMB,2024,4.423,3057.684,Africa,,
Georgia,GEO,2024,5.4,24883.908,Asia,,
Germany,DEU,2024,6.753,62554.555,Europe,,
Ghana,GHA,2024,4.34,7055.625,Africa,,
Greece,GRC,2024,5.776,37474.28,Europe,,
Guatemala,GTM,2024,6.362,12640.888,North America,,
Guinea,GIN,2024,4.929,4016.3418,Africa,,
Haiti,HTI,2024,3.615,3239.8354,North America,2020,2020
Honduras,HND,2024,5.964,6585.8555,North America,,
Hong Kong,HKG,2024,5.491,66153.98,Asia,,
Hungary,HUN,2024,5.915,40686.934,Europe,,
Iceland,ISL,2024,7.515,67310.055,Europe,,
India,IND,2024,4.389,9818.043,Asia,,
Indonesia,IDN,2024,5.617,14470.4375,Asia,,
Iran,IRN,2024,5.093,17484.133,Asia,,
Iraq,IRQ,2024,4.976,12725.043,Asia,,
Ireland,IRL,2024,6.889,119037.734,Europe,,
Israel,ISR,2024,7.234,47338.844,Asia,,
Italy,ITA,2024,6.415,53265.004,Europe,,
Jamaica,JAM,2024,5.87,11340.264,North America,,
Japan,JPN,2024,6.147,46106.92,Asia,,
Jordan,JOR,2024,4.31,9520.251,Asia,,
Kazakhstan,KAZ,2024,6.378,35973.965,Asia,,
Kenya,KEN,2024,4.51,5845.201,Africa,,
Kosovo,OWID_KOS,2024,6.659,15716.293,Europe,,
Kuwait,KWT,2024,6.629,46137.47,Asia,,
Kyrgyzstan,KGZ,2024,5.858,7048.9897,Asia,,
Laos,LAO,2024,5.301,8600.324,Asia,,
Latvia,LVA,2024,6.207,37611.67,Europe,,
Lebanon,LBN,2024,2.707,11330.269,Asia,2023,2023
Lesotho,LSO,2024,3.757,2640.2854,Africa,,
Liberia,LBR,2024,4.277,1646.0586,Africa,,
Libya,LBY,2024,5.82,12583.834,Africa,,
Lithuania,LTU,2024,6.829,47165.367,Europe,,
Luxembourg,LUX,2024,7.122,128475.28,Europe,,
Madagascar,MDG,2024,4.157,1657.0497,Africa,,
Malawi,MWI,2024,3.26,1634.2466,Africa,,
Malaysia,MYS,2024,5.955,34116.23,Asia,,
Maldives,MDV,2024,5.198,14242.975,Asia,2020,2020
Mali,MLI,2024,4.345,2916.1853,Africa,,
Malta,MLT,2024,6.316,62700.496,Europe,,
Mauritania,MRT,2024,4.542,6482.69,Africa,,
Mauritius,MUS,2024,5.832,28011.158,Africa,,
Mexico,MEX,2024,6.979,22039.629,North America,,
Moldova,MDA,2024,5.819,16376.611,Europe,,
Mongolia,MNG,2024,5.833,16842.65,Asia,,
Montenegro,MNE,2024,5.877,28105.709,Europe,,
Morocco,MAR,2024,4.622,9162.747,Africa,,
Mozambique,MOZ,2024,5.19,1500.3143,Africa,,
Myanmar,MMR,2024,4.321,5276.2944,Asia,,
Namibia,NAM,2024,4.911,10281.336,Africa,,
Nepal,NPL,2024,5.311,5046.816,Asia,,
Netherlands,NLD,2024,7.306,70498.88,Europe,,
New Zealand,NZL,2024,6.952,49316.4,Oceania,,
Nicaragua,NIC,2024,6.33,7661.602,North America,,
Niger,NER,2024,4.725,1803.4369,Africa,,
Nigeria,NGA,2024,4.885,7994.216,Africa,,
North Macedonia,MKD,2024,5.503,24203.285,Europe,,
Norway,NOR,2024,7.262,91105.25,Europe,,
Oman,OMN,2024,6.197,36721.082,Asia,,
Pakistan,PAK,2024,4.768,5500.3237,Asia,,
Palestine,PSE,2024,4.78,3845.503,Asia,,
Panama,PAN,2024,6.407,36394.918,North America,,
Paraguay,PRY,2024,6.172,16296.283,South America,,
Peru,PER,2024,5.947,15661.75,South America,,
Philippines,PHL,2024,6.107,10375.94,Asia,,
Poland,POL,2024,6.673,45153.043,Europe,,
Portugal,PRT,2024,6.013,42197.203,Europe,,
Romania,ROU,2024,6.563,40504,Europe,,
Russia,RUS,2024,5.945,41704.71,Europe,,
Rwanda,RWA,2024,3.268,2733.4355,Africa,2021,2021
Saudi Arabia,SAU,2024,6.6,62792.773,Asia,,
Senegal,SEN,2024,4.856,4460.924,Africa,,
Serbia,SRB,2024,6.606,26900.854,Europe,,
Sierra Leone,SLE,2024,2.998,3098.763,Africa,,
Singapore,SGP,2024,6.565,132569.53,Asia,,
Slovakia,SVK,2024,6.221,40319.055,Europe,,
Slovenia,SVN,2024,6.792,48648.906,Europe,,
Somalia,SOM,2024,4.347,1409.335,Africa,,
South Africa,ZAF,2024,5.213,13597.654,Africa,,
South Korea,KOR,2024,6.038,55070.938,Asia,,
Spain,ESP,2024,6.466,48460.293,Europe,,
Sri Lanka,LKA,2024,3.891,13752.837,Asia,,
Sweden,SWE,2024,7.345,62978.938,Europe,,
Switzerland,CHE,2024,6.935,82286.18,Europe,,
Tajikistan,TJK,2024,5.411,4755.933,Asia,,
Tanzania,TZA,2024,3.8,3713.263,Africa,,
Thailand,THA,2024,6.222,21740.541,Asia,,
Togo,TGO,2024,4.315,2960.7754,Africa,,
Trinidad and Tobago,TTO,2024,5.905,31960.156,North America,,
Tunisia,TUN,2024,4.552,12774.916,Africa,,
Turkey,TUR,2024,5.262,36154.492,Asia,,
Turkmenistan,TKM,2024,5.474,16434.14,Asia,2021,2021
Uganda,UGA,2024,4.461,2879.6702,Africa,,
Ukraine,UKR,2024,4.68,16319.845,Europe,,
United Arab Emirates,ARE,2024,6.759,69701.805,Asia,,
United Kingdom,GBR,2024,6.728,52621.18,Europe,,
United States,USA,2024,6.724,75489.266,North America,,
Uruguay,URY,2024,6.661,32038.773,South America,,
Uzbekistan,UZB,2024,6.193,10450.205,Asia,,
Vietnam,VNM,2024,6.352,14415.216,Asia,,
Zambia,ZMB,2024,3.912,3708.069,Africa,,
Zimbabwe,ZWE,2024,3.396,5215.253,Africa,,
