Entity,Code,Year,Human Development Index,GDP per capita,Population,World region according to OWID
Afghanistan,AFG,2023,0.496,1983.8126,41454762,Asia
Albania,ALB,2023,0.81,20481.035,2811660,Europe
Algeria,DZA,2023,0.763,15159.324,46164222,Africa
Andorra,AND,2023,0.913,64631.297,80869,Europe
Angola,AGO,2023,0.616,8788.261,36749909,Africa
Antigua and Barbuda,ATG,2023,0.851,28474.045,93331,North America
Argentina,ARG,2023,0.865,27230.396,45538402,South America
Armenia,ARM,2023,0.811,19402.752,2943398,Asia
Australia,AUS,2023,0.958,60684.96,26451126,Oceania
Austria,AUT,2023,0.93,64536.297,9130434,Europe
Azerbaijan,AZE,2023,0.789,21310.738,10318209,Asia
Bahamas,BHS,2023,0.82,35221.27,399452,North America
Bahrain,BHR,2023,0.899,57819.906,1569674,Asia
Bangladesh,BGD,2023,0.685,8242.398,171466986,Asia
Barbados,BRB,2023,0.811,21318.672,282347,North America
Belarus,BLR,2023,0.824,27782.438,9115679,Europe
Belgium,BEL,2023,0.951,63095.402,11712891,Europe
Belize,BLZ,2023,0.721,12371.009,411112,North America
Benin,BEN,2023,0.515,3721.2126,14111035,Africa
Bhutan,BTN,2023,0.698,14610.296,786386,Asia
Bolivia,BOL,2023,0.733,11616.157,12244161,South America
Bosnia and Herzegovina,BIH,2023,0.804,19805,3185072,Europe
Botswana,BWA,2023,0.731,18932.48,2480242,Africa
Brazil,BRA,2023,0.786,19079.812,211140731,South America
Brunei,BRN,2023,0.837,76616.7,458959,Asia
Bulgaria,BGR,2023,0.845,33073.816,6795805,Europe
Burkina Faso,BFA,2023,0.459,2486.2068,23025777,Africa
Burundi,BDI,2023,0.439,1036.1671,13689455,Africa
Cambodia,KHM,2023,0.606,6695.292,17423884,Asia
Cameroon,CMR,2023,0.588,4875.251,28372690,Africa
Canada,CAN,2023,0.939,57517.44,39299098,North America
Cape Verde,CPV,2023,0.668,9228.461,522335,Africa
Central African Republic,CAF,2023,0.414,1132.6764,5152415,Africa
Chad,TCD,2023,0.416,2433.0989,19319075,Africa
Chile,CHL,2023,0.878,29563.678,19658833,South America
China,CHN,2023,0.797,22687.076,1422584930,Asia
Colombia,COL,2023,0.788,18382.998,52321152,South America
Comoros,COM,2023,0.603,3434.4019,850390,Africa
Congo,COG,2023,0.649,6172.2876,6182890,Africa
Costa Rica,CRI,2023,0.833,25979.629,5105526,North America
Cote d'Ivoire,CIV,2023,0.582,6520.899,31165653,Africa
Croatia,HRV,2023,0.889,41320.203,3896023,Europe
Cyprus,CYP,2023,0.913,51453.727,1344981,Europe
Czechia,CZE,2023,0.915,47558.41,10809722,Europe
Democratic Republic of Congo,COD,2023,0.522,1559.338,105789733,Africa
Denmark,DNK,2023,0.962,69379.22,5948134,Europe
Djibouti,DJI,2023,0.513,6510.6787,1152951,Africa
Dominica,DMA,2023,0.761,18278.225,66531,North America
Dominican Republic,DOM,2023,0.776,23282.49,11331269,North America
East Timor,TLS,2023,0.634,4331.078,1384292,Asia
Ecuador,ECU,2023,0.777,14343.019,17980079,South America
Egypt,EGY,2023,0.754,16691.387,114535772,Africa
El Salvador,SLV,2023,0.678,11424.6455,6309629,North America
Equatorial Guinea,GNQ,2023,0.674,15688.238,1847556,Africa
Estonia,EST,2023,0.905,41288.617,1367195,Europe
Eswatini,SWZ,2023,0.695,10181.504,1230507,Africa
Ethiopia,ETH,2023,0.497,2757.9592,128691695,Africa
Fiji,FJI,2023,0.731,13194.805,924150,Oceania
Finland,FIN,2023,0.948,56250.88,5601185,Europe
France,FRA,2023,0.92,54296.723,66438828,Europe
Gabon,GAB,2023,0.733,18701.422,2484790,Africa
Gambia,GMB,2023,0.524,2963.5986,2697846,Africa
Georgia,GEO,2023,0.844,22590.53,3807494,Asia
