Entity,Code,Year,Researchers in R&D (per million people),GDP per capita,World region according to OWID,GDP per capita (Original Year),Researchers in R&D (per million people) (Original Year)
Argentina,ARG,2023,1296.4543,27825.027,South America,2022,2022
Armenia,ARM,2023,1039.8478,19402.752,Asia,,
Austria,AUT,2023,6658.549,65694.555,Europe,2022,2022
Azerbaijan,AZE,2023,1663.3395,21310.738,Asia,,
Belarus,BLR,2023,1504.3527,27782.438,Europe,,
Belgium,BEL,2023,6983.19,62561.78,Europe,2022,2022
Bolivia,BOL,2023,63.0569,11202.441,South America,2021,2021
Bosnia and Herzegovina,BIH,2023,669.76764,19805,Europe,,
Brunei,BRN,2023,506.18124,76357.83,Asia,2022,2022
Bulgaria,BGR,2023,2557.198,32433.793,Europe,2022,2022
Canada,CAN,2023,5411.8267,56995.117,North America,2021,2021
Chile,CHL,2023,638.838,29089.85,South America,2021,2021
China,CHN,2023,1849.2367,21499.383,Asia,2022,2022
Congo,COG,2023,126.96941,6205.105,Africa,2022,2022
Costa Rica,CRI,2023,462.4742,24831.719,North America,2022,2022
Croatia,HRV,2023,2534.4243,39864.01,Europe,2022,2022
Cyprus,CYP,2023,1727.635,50623.797,Europe,2022,2022
Czechia,CZE,2023,4696.6846,48390.66,Europe,2022,2022
Denmark,DNK,2023,8735.601,69475.32,Europe,2022,2022
Dominican Republic,DOM,2023,20.03771,22986.959,North America,2022,2022
Egypt,EGY,2023,845.3181,16691.387,Africa,,
El Salvador,SLV,2023,57.61826,11085.618,North America,2022,2022
Estonia,EST,2023,4654.8545,43128.633,Europe,2022,2022
Finland,FIN,2023,8073.1455,57068.305,Europe,2022,2022
France,FRA,2023,5181.8457,53673.812,Europe,2022,2022
Georgia,GEO,2023,1768.1649,22590.53,Asia,,
Germany,DEU,2023,5787.442,63676.086,Europe,2022,2022
Greece,GRC,2023,4926.781,35831.344,Europe,2022,2022
Guatemala,GTM,2023,14.52588,11825.142,North America,2021,2021
Hong Kong,HKG,2023,5273.7437,64434.56,Asia,,
Hungary,HUN,2023,4725.1504,40610.973,Europe,2022,2022
Iceland,ISL,2023,6863.5474,65380.316,Europe,2022,2022
Iran,IRN,2023,2239.74,15884.428,Asia,2021,2021
Iraq,IRQ,2023,164.28484,12731.754,Asia,2021,2021
